name,ring,quadrant,isNew,description
Algolia,Assess,Tools,TRUE,
Apollo,Adopt,Languages and Frameworks,FALSE,
Appium,Adopt,Languages and Frameworks,FALSE,
ArgoCD,Adopt,Tools,TRUE,
AWS ACM,Trial,Tools,TRUE,
AWS Appsync,Adopt,Tools,TRUE,
AWS Batch,Trial,Tools,TRUE,
AWS DynamoDB,Adopt,Tools,TRUE,
AWS EC2,Adopt,Platforms,FALSE,
AWS Kinesis,Trial,Tools,TRUE,
AWS Lambda,Adopt,Platforms,TRUE,
AWS MSK,Assess,Platforms,TRUE,
AWS Opensearch,Assess,Tools,TRUE,
AWS Quicksight,Deprecate,Tools,FALSE,
AWS RDS,Adopt,Platforms,FALSE,
AWS SES,Adopt,Tools,FALSE,
AWS SQS,Adopt,Tools,TRUE,
AWS Step Functions,Adopt,Tools,TRUE,
Certmanager,Adopt,Tools,TRUE,
Chaos Engineering,Assess,Techniques,TRUE,
CircleCI,Adopt,Tools,FALSE,
Confluent,Assess,Platforms,TRUE,
Cypress,Adopt,Languages and Frameworks,FALSE,
Datadog,Adopt,Tools,FALSE,
Datadog RUM,Trial,Tools,TRUE,
Django,Deprecate,Languages and Frameworks,FALSE,
Docker,Adopt,Platforms,FALSE,
ExternalDNS,Adopt,Tools,TRUE,
Feature Flagging,Adopt,Techniques,FALSE,
Gitlab,Assess,Tools,TRUE,
GraphQL,Adopt,Languages and Frameworks,FALSE,
Helm,Adopt,Tools,FALSE,
Javascript,Adopt,Languages and Frameworks,FALSE,
JMeter,Adopt,Languages and Frameworks,FALSE,
Kanban,Adopt,Techniques,FALSE,
Kong API Gateway,Trial,Tools,TRUE,
Kubernetes,Adopt,Platforms,FALSE,
Launchdarkly,Adopt,Tools,TRUE,
Looker,Adopt,Tools,TRUE,
Micro Frontends,Adopt,Techniques,TRUE,
Microservice Architecture,Adopt,Techniques,TRUE,
Monolithic Architecture,Deprecate,Techniques,FALSE,
PACT,Adopt,Languages and Frameworks,TRUE,
PostgreSQL,Adopt,Tools,FALSE,
Python,Adopt,Languages and Frameworks,FALSE,
React,Adopt,Languages and Frameworks,FALSE,
React Native,Adopt,Languages and Frameworks,FALSE,
Redshift,Adopt,Platforms,FALSE,
Scrum,Adopt,Techniques,FALSE,
Sentry,Trial,Tools,FALSE,
Serverless Architecture,Adopt,Techniques,TRUE,
Serverless Framework,Adopt,Languages and Frameworks,TRUE,
Snyk,Assess,Tools,TRUE,
Sonarqube,Adopt,Tools,FALSE,
Styled Components,Adopt,Languages and Frameworks,FALSE,
Terraform,Adopt,Tools,FALSE,
Trunk-Based Development,Adopt,Techniques,FALSE,
Typescript,Adopt,Languages and Frameworks,FALSE,
